Series Id,Year,Period,Value
CUSR0000SA0,1968,M10,0.6
CUSR0000SA0,1968,M11,0.3
CUSR0000SA0,1968,M12,0.6
CUSR0000SA0,1969,M01,0.3
CUSR0000SA0,1969,M02,0.3
CUSR0000SA0,1969,M03,0.8
CUSR0000SA0,1969,M04,0.6
CUSR0000SA0,1969,M05,0.3
CUSR0000SA0,1969,M06,0.5
CUSR0000SA0,1969,M07,0.5
CUSR0000SA0,1969,M08,0.3
CUSR0000SA0,1969,M09,0.5
CUSR0000SA0,1969,M10,0.5
CUSR0000SA0,1969,M11,0.5
CUSR0000SA0,1969,M12,0.5
CUSR0000SA0,1970,M01,0.5
CUSR0000SA0,1970,M02,0.5
CUSR0000SA0,1970,M03,0.5
CUSR0000SA0,1970,M04,0.5
CUSR0000SA0,1970,M05,0.3
CUSR0000SA0,1970,M06,0.5
CUSR0000SA0,1970,M07,0.3
CUSR0000SA0,1970,M08,0.3
CUSR0000SA0,1970,M09,0.5
CUSR0000SA0,1970,M10,0.5
CUSR0000SA0,1970,M11,0.5
CUSR0000SA0,1970,M12,0.5
CUSR0000SA0,1971,M01,0.3
CUSR0000SA0,1971,M02,0.0
CUSR0000SA0,1971,M03,0.3
CUSR0000SA0,1971,M04,0.3
CUSR0000SA0,1971,M05,0.5
CUSR0000SA0,1971,M06,0.5
CUSR0000SA0,1971,M07,0.2
CUSR0000SA0,1971,M08,0.2
CUSR0000SA0,1971,M09,0.2
CUSR0000SA0,1971,M10,0.2
CUSR0000SA0,1971,M11,0.2
CUSR0000SA0,1971,M12,0.2
CUSR0000SA0,1972,M01,0.2
CUSR0000SA0,1972,M02,0.5
CUSR0000SA0,1972,M03,0.0
CUSR0000SA0,1972,M04,0.2
CUSR0000SA0,1972,M05,0.2
CUSR0000SA0,1972,M06,0.2
CUSR0000SA0,1972,M07,0.2
CUSR0000SA0,1972,M08,0.2
CUSR0000SA0,1972,M09,0.5
CUSR0000SA0,1972,M10,0.2
CUSR0000SA0,1972,M11,0.5
CUSR0000SA0,1972,M12,0.2
CUSR0000SA0,1973,M01,0.5
CUSR0000SA0,1973,M02,0.7
CUSR0000SA0,1973,M03,0.9
CUSR0000SA0,1973,M04,0.7
CUSR0000SA0,1973,M05,0.5
CUSR0000SA0,1973,M06,0.7
CUSR0000SA0,1973,M07,0.0
CUSR0000SA0,1973,M08,1.8
CUSR0000SA0,1973,M09,0.4
CUSR0000SA0,1973,M10,0.9
CUSR0000SA0,1973,M11,0.7
CUSR0000SA0,1973,M12,0.9
CUSR0000SA0,1974,M01,1.1
CUSR0000SA0,1974,M02,1.1
CUSR0000SA0,1974,M03,1.1
CUSR0000SA0,1974,M04,0.6
CUSR0000SA0,1974,M05,1.0
CUSR0000SA0,1974,M06,0.8
CUSR0000SA0,1974,M07,0.6
CUSR0000SA0,1974,M08,1.2
CUSR0000SA0,1974,M09,1.4
CUSR0000SA0,1974,M10,0.8
CUSR0000SA0,1974,M11,1.0
CUSR0000SA0,1974,M12,0.8
CUSR0000SA0,1975,M01,0.8
CUSR0000SA0,1975,M02,0.6
CUSR0000SA0,1975,M03,0.4
CUSR0000SA0,1975,M04,0.4
CUSR0000SA0,1975,M05,0.2
CUSR0000SA0,1975,M06,0.8
CUSR0000SA0,1975,M07,0.9
CUSR0000SA0,1975,M08,0.4
CUSR0000SA0,1975,M09,0.7
CUSR0000SA0,1975,M10,0.5
CUSR0000SA0,1975,M11,0.7
CUSR0000SA0,1975,M12,0.5
CUSR0000SA0,1976,M01,0.4
CUSR0000SA0,1976,M02,0.2
CUSR0000SA0,1976,M03,0.2
CUSR0000SA0,1976,M04,0.2
CUSR0000SA0,1976,M05,0.5
CUSR0000SA0,1976,M06,0.5
CUSR0000SA0,1976,M07,0.5
CUSR0000SA0,1976,M08,0.5
CUSR0000SA0,1976,M09,0.5
CUSR0000SA0,1976,M10,0.5
CUSR0000SA0,1976,M11,0.3
CUSR0000SA0,1976,M12,0.5
CUSR0000SA0,1977,M01,0.5
CUSR0000SA0,1977,M02,1.0
CUSR0000SA0,1977,M03,0.5
CUSR0000SA0,1977,M04,0.7
CUSR0000SA0,1977,M05,0.3
CUSR0000SA0,1977,M06,0.5
CUSR0000SA0,1977,M07,0.5
CUSR0000SA0,1977,M08,0.5
CUSR0000SA0,1977,M09,0.3
CUSR0000SA0,1977,M10,0.5
CUSR0000SA0,1977,M11,0.6
CUSR0000SA0,1977,M12,0.5
CUSR0000SA0,1978,M01,0.6
CUSR0000SA0,1978,M02,0.5
CUSR0000SA0,1978,M03,0.6
CUSR0000SA0,1978,M04,0.8
CUSR0000SA0,1978,M05,0.9
CUSR0000SA0,1978,M06,0.8
CUSR0000SA0,1978,M07,0.8
CUSR0000SA0,1978,M08,0.6
CUSR0000SA0,1978,M09,0.9
CUSR0000SA0,1978,M10,0.9
CUSR0000SA0,1978,M11,0.6
CUSR0000SA0,1978,M12,0.6
CUSR0000SA0,1979,M01,0.9
CUSR0000SA0,1979,M02,1.0
CUSR0000SA0,1979,M03,1.0
CUSR0000SA0,1979,M04,1.0
CUSR0000SA0,1979,M05,1.1
CUSR0000SA0,1979,M06,1.1
CUSR0000SA0,1979,M07,1.1
CUSR0000SA0,1979,M08,1.0
CUSR0000SA0,1979,M09,0.9
CUSR0000SA0,1979,M10,1.1
CUSR0000SA0,1979,M11,1.1
CUSR0000SA0,1979,M12,1.2
CUSR0000SA0,1980,M01,1.4
CUSR0000SA0,1980,M02,1.3
CUSR0000SA0,1980,M03,1.4
CUSR0000SA0,1980,M04,1.0
CUSR0000SA0,1980,M05,1.0
CUSR0000SA0,1980,M06,1.0
CUSR0000SA0,1980,M07,0.1
CUSR0000SA0,1980,M08,0.7
CUSR0000SA0,1980,M09,0.8
CUSR0000SA0,1980,M10,1.0
CUSR0000SA0,1980,M11,1.1
CUSR0000SA0,1980,M12,0.9
CUSR0000SA0,1981,M01,0.9
CUSR0000SA0,1981,M02,0.9
CUSR0000SA0,1981,M03,0.7
CUSR0000SA0,1981,M04,0.6
CUSR0000SA0,1981,M05,0.7
CUSR0000SA0,1981,M06,0.9
CUSR0000SA0,1981,M07,1.1
CUSR0000SA0,1981,M08,0.8
CUSR0000SA0,1981,M09,1.0
CUSR0000SA0,1981,M10,0.3
CUSR0000SA0,1981,M11,0.4
CUSR0000SA0,1981,M12,0.3
CUSR0000SA0,1982,M01,0.3
